#Firmware: Speeduino 2023.05
PriLevel,SecLevel,ThirdLevel,Trigger,Sync,Cycle,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,Flag,Flag,ms,ms,ms
0.0,0.0,0.0,0.0,0.0,0.0,15185.112,2.628,15185.112
1.0,0.0,0.0,0.0,0.0,0.0,15189.324,4.212,15189.324
0.0,0.0,0.0,0.0,0.0,0.0,15192.404,3.08,15192.404
1.0,0.0,0.0,0.0,0.0,0.0,15208.4,15.996,15208.4
0.0,0.0,0.0,0.0,0.0,0.0,15213.86,5.46,15213.86
1.0,0.0,0.0,0.0,0.0,0.0,15219.192,5.332,15219.192
0.0,0.0,0.0,0.0,0.0,0.0,15222.096,2.904,15222.096
1.0,0.0,0.0,0.0,0.0,0.0,15227.988,5.892,15227.988
0.0,0.0,0.0,0.0,0.0,0.0,15231.02,3.032,15231.02
1.0,0.0,0.0,0.0,0.0,0.0,15237.728,6.708,15237.728
0.0,0.0,0.0,0.0,0.0,0.0,15240.812,3.084,15240.812
1.0,0.0,0.0,0.0,0.0,0.0,15248.176,7.364,15248.176
0.0,0.0,0.0,0.0,0.0,0.0,15251.284,3.108,15251.284
0.0,0.0,0.0,0.0,0.0,0.0,15606.464,355.18,15606.464
0.0,1.0,0.0,1.0,0.0,0.0,15619.32,12.856,15619.32
1.0,1.0,0.0,0.0,0.0,0.0,15621.536,2.216,15621.536
0.0,1.0,0.0,0.0,0.0,0.0,15627.672,6.136,15627.672
0.0,0.0,0.0,1.0,0.0,0.0,15628.368,0.696,15628.368
1.0,0.0,0.0,0.0,0.0,0.0,15648.456,20.088,15648.456
0.0,0.0,0.0,0.0,0.0,0.0,15653.44,4.984,15653.44
1.0,0.0,0.0,0.0,0.0,0.0,15661.828,8.388,15661.828
0.0,0.0,0.0,0.0,0.0,0.0,15664.84,3.012,15664.84
1.0,0.0,0.0,0.0,0.0,0.0,15671.676,6.836,15671.676
0.0,0.0,0.0,0.0,0.0,0.0,15674.724,3.048,15674.724
1.0,0.0,0.0,0.0,0.0,0.0,15680.404,5.68,15680.404
0.0,0.0,0.0,0.0,0.0,0.0,15683.344,2.94,15683.344
1.0,0.0,0.0,0.0,0.0,0.0,15688.136,4.792,15688.136
0.0,0.0,0.0,0.0,0.0,0.0,15690.888,2.752,15690.888
1.0,0.0,0.0,0.0,0.0,0.0,15695.176,4.288,15695.176
0.0,0.0,0.0,0.0,0.0,0.0,15697.84,2.664,15697.84
